date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
1998-03-31,2.0928,2.0096,1.6353,1.9196,2.9017,3.7686,1.6466,2.1076,1.4432,1.3795,1.2362,1.6939,1.7434,1.6369,1.2656,1.9001,2.9257,1.3202,1.9654,1.4608,1.8290,0.7837,2.0188,1.3656,3.3417,2.4979,0.9988,0
1998-06-30,0.6534,1.4123,0.6559,0.8292,0.9808,0.9162,0.8406,1.4855,0.6188,0.3376,0.9085,0.7252,0.8658,0.8788,0.7120,0.9443,1.0750,0.5388,1.0314,0.7735,1.0785,0.0562,1.0633,0.4881,1.7248,1.4158,1.0266,0
1998-09-30,-0.0329,0.4210,0.0708,0.2735,0.2271,0.0387,0.1948,-0.2480,-0.0209,-0.2479,-0.0886,0.0208,0.0206,0.4269,0.1931,0.1525,-0.1106,-0.1237,0.2052,0.0729,-0.2299,-0.5191,0.0302,-0.2127,-0.3710,0.1670,0.0294,0
1998-12-31,0.0721,-0.2658,-0.2963,-0.1110,0.3152,-0.2034,-0.1761,-0.2322,-0.5166,-0.4323,-0.7093,-0.3360,-0.3364,-0.2199,-0.1216,-0.1241,-0.3653,-0.6122,-0.1068,-0.1485,-0.6335,-0.7866,-0.3734,-0.6315,0.1706,0.2475,-0.1541,0
1999-03-31,0.1839,0.7224,-0.0269,0.1328,0.1271,-1.0435,0.4747,0.2511,-0.0380,-0.5345,-0.0092,0.2403,-0.0194,0.5851,0.5593,0.2320,-0.1124,-0.0881,0.3339,0.4927,0.0529,-0.4814,0.1521,-0.4811,1.3738,0.1816,0.1746,0
1999-06-30,0.6674,0.8070,0.3125,0.5205,0.7885,-0.2216,0.5205,0.9803,0.4083,0.0799,0.5252,0.4700,0.8237,1.2814,0.0909,0.5163,0.4000,0.1649,0.6544,0.4872,0.5483,0.0653,0.4604,0.5237,1.4716,1.1268,0.6581,0
1999-09-30,0.8372,0.7004,0.1948,0.5728,1.1103,1.6137,0.8354,0.5026,-0.0248,-0.1034,0.3565,0.4160,0.3139,-0.9655,0.5033,0.4157,1.3936,0.2547,0.5509,0.5871,0.6928,-0.0030,0.8416,0.6024,1.0006,0.4073,0.5368,0
1999-12-31,1.7363,2.1601,1.1711,1.6858,2.4423,2.5085,1.6659,3.7491,1.4443,1.1925,2.2984,1.5259,2.6515,1.7222,1.2332,1.8082,2.9338,1.4065,2.0906,1.6934,2.7334,1.1707,2.0240,1.8431,4.2113,3.2801,2.3976,0
2000-03-31,0.2582,-0.1139,0.1799,0.5927,0.5172,0.8356,0.1438,0.6298,0.0096,0.2005,-0.7217,0.3121,-0.5303,-0.3922,-0.4808,0.4341,-0.2016,0.1508,0.3158,0.0018,0.1729,-0.4737,0.3355,-0.0390,-0.6448,1.3251,0.5578,0
2000-06-30,0.5205,0.2398,0.4513,0.6947,0.9224,0.0356,0.3123,-0.3152,0.2017,0.3542,0.0493,0.3596,0.3189,0.0761,0.2622,0.4386,-0.0874,0.3532,0.3325,0.2413,-0.1846,-0.1414,0.1463,0.1156,0.6555,0.3197,0.3226,0
2000-09-30,0.4364,1.4117,0.7208,0.8482,0.8840,0.6174,0.7820,1.1438,0.6267,-0.0840,1.1132,0.7326,0.7778,0.7692,0.3313,0.8883,1.0186,0.5875,0.7345,0.8176,0.8778,-0.5885,1.0075,0.0913,2.0576,0.9549,0.8744,0
2000-12-31,1.9276,2.1803,1.4037,1.4273,1.9931,1.5079,1.5564,1.2559,1.8534,1.0009,1.7859,1.5113,1.9681,1.6761,1.5957,1.6771,1.8404,1.6761,1.8101,1.6320,1.5006,1.6629,1.3003,1.6294,2.6341,1.1910,1.4724,0
2001-03-31,0.8190,0.8714,0.6419,0.5325,0.9920,1.0743,0.7593,-1.4048,0.5578,0.1743,0.6981,0.4634,1.2074,0.3930,0.7703,0.2749,0.9636,0.3585,0.4813,0.4727,-0.3845,0.3311,0.4006,0.7116,-0.5796,-1.2390,-0.0349,0
2001-06-30,0.6603,0.3905,0.3689,0.2881,0.9320,1.1748,0.4050,0.3127,0.2183,0.1754,0.1224,0.5734,0.5168,0.6759,0.2772,0.4672,0.7470,0.2694,0.8171,0.5378,0.2090,-0.0948,0.1601,0.6056,0.9332,0.4093,0.4307,0
2001-09-30,-0.1394,0.2754,-0.5636,-0.0717,0.0357,0.7637,0.1214,0.4338,-0.5729,-0.3386,-0.2619,-0.0713,-0.3385,-0.4450,0.1738,-0.1472,-0.0765,-0.3208,0.1590,-0.0794,-0.0074,-0.7974,0.2512,-0.3481,0.6555,-0.0235,0.0471,0
2001-12-31,-0.5434,-0.8232,-0.6385,-0.5162,-0.0985,0.5453,-0.3803,-0.2638,-1.1550,-0.6483,-1.0076,-0.3090,-0.8523,-0.6814,-0.5158,-0.4514,-0.4334,-0.8890,-0.2725,-0.4372,-0.7389,-1.4594,-0.5554,-0.7742,-0.5249,-0.2862,-0.4168,1
2002-03-31,0.1337,0.0056,-0.6285,-0.0097,0.4122,1.4416,0.5882,0.0873,-0.4573,-0.3822,-0.2591,0.2968,0.0029,-0.0641,0.0270,-0.0879,0.8143,-0.0474,0.0044,0.2089,0.2559,-0.4662,0.3503,-0.2145,0.4690,-0.5636,0.0592,1
2002-06-30,0.6266,0.3507,-0.1298,0.3037,0.7781,0.8776,0.6446,0.1921,0.1290,0.1207,1.0856,0.7382,0.6919,0.1919,0.1704,0.4493,0.6280,0.7710,0.8157,0.6461,0.0875,0.0415,0.1001,0.7320,1.2759,-0.4769,0.2251,1
2002-09-30,0.0507,0.2895,-0.5412,0.0522,-0.0522,0.6561,0.2419,0.1861,-0.1884,-0.3114,0.0868,0.2339,-0.1691,0.0755,0.0706,0.0736,0.1819,0.2242,0.1436,0.1589,0.1489,-0.4768,0.3023,-0.2970,0.3165,-0.3633,-0.0262,1
2002-12-31,-0.5944,-0.1559,-1.0567,-0.3780,-0.8469,-0.6303,-0.4156,-0.1323,-0.8031,-0.3765,-0.9733,-0.3187,-0.8071,-0.5827,-0.4640,-0.5270,-1.0790,-0.3839,-0.1316,-0.4901,-0.3908,-0.7861,-0.3667,-0.5515,-0.1316,-0.5104,-0.4269,1
2003-03-31,-0.2828,-0.1947,-0.8008,-0.2476,-0.2819,-0.3598,-0.2653,-0.4899,-0.4317,-0.2739,-0.5548,-0.1912,-0.4765,-0.1005,-0.3118,-0.3912,-0.5897,-0.1594,0.0519,-0.4546,-0.2712,-0.3357,-0.1080,-0.0235,-0.1093,-0.7764,-0.3824,1
2003-06-30,-0.6341,-0.5849,-0.9351,-0.3480,-0.5744,0.5786,-0.5029,0.1356,-0.9921,-0.6079,-0.8924,-0.3928,-0.5666,-0.5563,-0.3134,-0.4192,-0.4321,-0.5864,-0.3258,-0.5667,-0.1608,-0.8020,-0.1246,-0.8411,-1.0171,0.0908,-0.2844,1
