"Date","LocalName","Name","CountryCode","Fixed","Global","LaunchYear","Type","Counties"
"2019-01-01","Neujahr","New Year's Day","CH","False","True",NA,"Public",""
"2019-01-02","Berchtoldstag","St. Berchtold's Day","CH","False","False",NA,"Public","CH-BE,CH-FR,CH-SH,CH-AG,CH-TG,CH-VD"
"2019-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Public","CH-TI"
"2019-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Observance","CH-UR,CH-SZ"
"2019-03-01","Jahrestag der Ausrufung der Republik","Republic Day","CH","False","False",NA,"Public","CH-NE"
"2019-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Public","CH-SZ,CH-VS"
"2019-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Observance","CH-LU,CH-UR,CH-NW,CH-TI"
"2019-04-04","Näfelser Fahrt","Näfels procession","CH","False","False",NA,"Public","CH-GL"
"2019-04-19","Karfreitag","Good Friday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-NE,CH-GE,CH-JU"
"2019-04-22","Ostermontag","Easter Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-VD,CH-GE,CH-JU"
"2019-04-22","Ostermontag","Easter Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2019-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Public","CH-ZH,CH-SO,CH-BS,CH-BL,CH-SH,CH-AG,CH-NE,CH-JU"
"2019-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Observance","CH-TG,CH-TI"
"2019-05-30","Auffahrt","Ascension Day","CH","False","True",NA,"Public",""
"2019-06-10","Pfingstmontag","Whit Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-GE,CH-JU"
"2019-06-10","Pfingstmontag","Whit Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW,CH-TI"
"2019-06-20","Fronleichnam","Corpus Christi","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-AI,CH-AG,CH-VS,CH-JU"
"2019-06-20","Fronleichnam","Corpus Christi","CH","False","False",NA,"Observance","CH-TI"
"2019-06-29","Peter und Paul","Saints Peter and Paul","CH","False","False",NA,"Public","CH-TI"
"2019-08-01","Bundesfeier","Swiss National Day","CH","False","True",NA,"Public",""
"2019-08-15","Maria Himmelfahrt","Assumption of the Virgin Mary","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-BL,CH-AI,CH-GR,CH-AG,CH-TI,CH-VS,CH-JU"
"2019-09-05","Jeûne genevois","Geneva Prayday","CH","False","False",NA,"Public","CH-GE"
"2019-09-15","Eidgenössischer Dank-, Buss- und Bettag","Federal Day of Thanksgiving","CH","False","False",NA,"Observance","CH-ZH,CH-BE,CH-LU,CH-SZ,CH-OW,CH-NW,CH-GL,CH-SO,CH-BS,CH-BL,CH-SH,CH-SG,CH-GR"
"2019-09-16","Bettagsmontag","Federal Fast Monday","CH","False","False",NA,"Public","CH-VD"
"2019-11-01","Allerheiligen","All Saints' Day","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-AI,CH-SG,CH-GR,CH-AG,CH-TI,CH-VS,CH-JU"
"2019-12-08","Mariä Empfängnis","Immaculate Conception","CH","False","False",NA,"Public","CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-ZG,CH-FR,CH-SO,CH-AG,CH-TI,CH-VS"
"2019-12-08","Mariä Empfängnis","Immaculate Conception","CH","False","False",NA,"Observance","CH-AI,CH-JU"
"2019-12-25","Weihnachten","Christmas Day","CH","False","True",NA,"Public",""
"2019-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-AR,CH-AI"
"2019-12-26","Stephanstag","St. Stephen's Day","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2020-01-01","Neujahr","New Year's Day","CH","False","True",NA,"Public",""
"2020-01-02","Berchtoldstag","St. Berchtold's Day","CH","False","False",NA,"Public","CH-BE,CH-FR,CH-SH,CH-AG,CH-TG,CH-VD"
"2020-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Public","CH-TI"
"2020-01-06","Heilige Drei Könige","Epiphany","CH","False","False",NA,"Observance","CH-UR,CH-SZ"
"2020-03-01","Jahrestag der Ausrufung der Republik","Republic Day","CH","False","False",NA,"Public","CH-NE"
"2020-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Public","CH-SZ,CH-VS"
"2020-03-19","Josefstag","Saint Joseph's Day","CH","False","False",NA,"Observance","CH-LU,CH-UR,CH-NW,CH-TI"
"2020-04-04","Näfelser Fahrt","Näfels procession","CH","False","False",NA,"Public","CH-GL"
"2020-04-10","Karfreitag","Good Friday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-LU,CH-UR,CH-SZ,CH-OW,CH-NW,CH-GL,CH-ZG,CH-FR,CH-SO,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-NE,CH-GE,CH-JU"
"2020-04-13","Ostermontag","Easter Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-TI,CH-VD,CH-GE,CH-JU"
"2020-04-13","Ostermontag","Easter Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW"
"2020-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Public","CH-ZH,CH-SO,CH-BS,CH-BL,CH-SH,CH-AG,CH-NE,CH-JU"
"2020-05-01","Tag der Arbeit","Labour Day","CH","False","False",NA,"Observance","CH-TG,CH-TI"
"2020-05-21","Auffahrt","Ascension Day","CH","False","True",NA,"Public",""
"2020-06-01","Pfingstmontag","Whit Monday","CH","False","False",NA,"Public","CH-ZH,CH-BE,CH-GL,CH-FR,CH-BS,CH-BL,CH-SH,CH-AR,CH-AI,CH-SG,CH-GR,CH-AG,CH-TG,CH-VD,CH-GE,CH-JU"
"2020-06-01","Pfingstmontag","Whit Monday","CH","False","False",NA,"Observance","CH-UR,CH-SZ,CH-OW,CH-TI"
